"CGA" "Cafeine" "Fat" "Trigonelline" "DM" "Localisation"
"V32" 8.1535645 1.1247518 14.0423613 0.8117667 89.9993896 3
"V33" 8.4484921 1.2646699 15.8971605 0.8942946 90.3017197 7
"V34" 7.9551086 1.1551547 12.2624311 0.8058174 90.4437256 2
"V35" 7.5829668 1.1328901 9.6125946 0.6757228 90.3765793 5
"V36" 8.0066528 1.1333923 13.2661562 0.7438147 90.0112915 6
"V37" 7.6344113 1.2429953 9.6454363 0.7282701 90.0895996 5
"V38" 7.8423719 1.3160901 15.4591618 0.8816177 90.3085022 7
"V39" 7.9125719 1.3753746 9.8073893 0.7228755 90.0691528 5
"V40" 7.4418287 0.8581218 11.5362482 0.7692938 89.8282318 6
"V41" 7.5931716 1.1648613 14.5936031 0.7901525 90.8429031 1
"V42" 7.6827278 1.2822714 9.4174986 0.6700026 89.7337265 5
"V43" 7.955225 1.0939223 13.1653957 0.8072924 89.6356277 6
"V44" 7.6025944 1.1600965 15.0583048 0.8465124 90.9020004 7
"V45" 8.4155607 1.1149511 12.7040167 0.7270533 90.1252518 6
"V46" 7.5546851 1.1167431 12.473299 0.8218014 90.5801315 2
"V47" 7.7512598 1.0953873 11.1246691 0.8650985 89.5801544 2
"V48" 8.0169258 1.2729664 12.1676655 0.7913336 89.8389053 3
"V49" 7.7994847 1.0980939 15.8433323 0.8336518 91.4495773 7
"V50" 7.8171973 0.9037719 11.2356215 0.8208759 89.8976593 6
"V51" 8.5636158 1.1802695 13.5273991 0.8383983 89.0283966 3
"V52" 7.5642352 1.1494745 11.2591162 0.8534402 90.0832062 2
"V53" 8.4221363 1.0879728 11.4184732 0.8059883 89.2449112 3
"V54" 8.3156662 1.091313 14.1629419 0.8169095 90.3667984 6
"V55" 8.0035677 1.0577246 12.1762428 0.6892915 89.7808838 3
"V56" 7.6374183 1.0053504 13.4091902 0.8306869 90.535965 1
"V57" 7.9146066 1.065298 12.4765272 0.6532474 90.4841156 1
"V58" 7.5310373 0.9630442 12.1899366 0.9047388 90.7450333 1
"V59" 7.7036676 1.1303507 13.9471922 0.7468623 90.4055405 3
"V60" 8.0496292 0.9872844 12.1351938 0.7338989 90.0870972 6
"V61" 8.1848497 1.0618277 12.133812 0.7450905 90.2217636 2
"V62" 8.4742699 0.9761443 12.5480404 0.7687026 89.8467178 6
"V63" 8.1257582 1.2559725 13.8383875 0.787446 90.0738602 7
"V64" 8.6985302 0.9403334 14.3625383 0.8088669 90.1812973 6
"V65" 7.8434458 0.9881427 14.190362 0.8355547 90.0453796 6
"V66" 7.828907 1.1422007 13.8675146 0.8226516 90.4075928 2
"V67" 8.273737 1.2233214 12.853898 0.7736898 89.6792374 3
"V68" 7.5950885 1.0615172 11.3562307 0.7583007 90.265564 6
"V69" 8.0438719 1.0449138 12.2990341 0.683965 90.0450668 3
"V70" 7.388104 1.071804 13.092186 0.7318318 90.3658295 1
"V71" 7.9404173 1.1865556 14.1959 0.8171073 89.7474899 1
"V72" 7.7689414 0.9995021 14.4117708 0.9554567 89.8377914 7
"V73" 7.5756326 1.1167774 11.2411356 0.8606936 90.2353821 2
"V74" 7.0700984 1.091845 11.3155413 0.8699979 90.5206146 1
"V75" 7.0761986 0.7468683 15.0854845 1.0614761 91.3585739 7
"V76" 8.1469975 1.2252223 13.564558 0.8156275 90.3273087 6
"V77" 7.5133605 1.0042257 12.0916243 0.7917166 89.3968811 6
"V78" 8.084096 1.2861247 15.2519341 0.8577241 91.0407639 1
"V79" 7.1832199 1.054255 12.4234533 0.7289505 90.471817 1
"V80" 7.8811302 1.1291766 13.87852 0.8350391 90.0187683 2
"V81" 7.818109 1.1076816 12.4948483 0.8123056 89.2951508 3
"V82" 7.6607485 0.9809533 12.852335 0.7822905 90.4235535 2
"V83" 7.7838073 1.2439152 13.0448608 0.8029687 91.0994644 4
"V84" 7.4233484 0.8601859 11.7404385 0.9348963 90.9922104 1
"V85" 7.9177675 1.1791584 10.4303513 0.7093531 89.2350235 3
"V86" 7.7649059 1.317441 16.6450195 0.7812929 90.9142303 7
"V87" 7.5290127 0.954888 12.7591276 0.9012573 89.967308 6
"V88" 8.2272348 0.9543467 11.7083807 0.8080682 89.8910446 6
"V89" 8.7762728 1.5242202 15.1838074 0.8829793 90.7796249 7
"V90" 7.6504369 1.0255998 13.0988111 0.7685795 89.9070435 6
"V91" 7.732512 0.9943413 12.5252047 0.7693077 89.7623672 1
"V92" 8.172883 1.1776079 15.27771 0.9045537 90.8043213 7
"V93" 7.5159922 1.0070347 12.2922983 0.7763614 90.5634232 1
"V94" 8.0383167 1.0914034 11.9657955 0.7795304 90.4465485 2
"V95" 8.5022278 1.062796 13.6118202 0.8071554 90.1545486 2
"V96" 7.8974986 1.0019436 12.987669 0.8604805 90.1378479 6
"V97" 7.9246826 1.0836769 12.5969515 0.7280269 90.1362534 3
"V98" 7.847652 1.122316 12.5020323 0.752083 88.9860687 3
"V99" 7.6501493 1.0215473 13.3110819 0.8097805 89.590477 6
"V100" 7.936326 1.0171413 12.1116018 0.7854047 89.4896851 1
"V101" 7.7930932 1.2906941 11.9749441 0.7763135 89.8139725 3
"V102" 7.8297048 1.1671666 15.6974049 1.0105131 91.0795441 7
"V103" 7.8154907 1.0023993 15.0286074 0.936816 89.7252274 6
"V104" 7.7138171 1.3083552 10.372509 0.6968059 90.2356949 5
"V105" 7.6569366 1.1502054 11.9385214 0.7674528 90.0562668 1
"V106" 8.1785688 1.1403432 13.1738701 0.8085439 90.0764923 7
"V107" 7.7312474 1.139478 12.9376974 0.8439056 89.464386 1
"V108" 8.2354393 0.9864678 12.2574749 0.777824 89.8318863 6
"V109" 8.1854095 1.2165029 12.3695917 0.8128381 89.8321838 6
"V110" 7.7164297 0.9929563 12.4880552 0.8069806 89.7808609 6
"V111" 7.665267 0.9499397 13.9859524 0.8630098 90.5741272 1
"V112" 7.8136573 1.1270186 11.6814852 0.8773376 89.7362137 6
"V113" 7.9398818 0.9276201 12.8315058 0.7119148 89.4703522 6
"V114" 8.2489176 0.8630098 13.736557 0.826162 90.3092117 6
"V115" 7.9093494 0.9828519 14.2660437 0.7826465 90.6264114 6
"V116" 7.9460907 1.1216382 12.4355183 0.8129233 90.065773 2
"V117" 8.4804058 1.1275574 13.1998482 0.8379133 89.5891495 6
"V118" 8.2320251 1.2553507 13.5944223 0.8211019 89.3868332 1
"V119" 7.8671684 1.0610189 14.4415808 0.8230807 90.1235199 6
"V120" 7.5223899 1.2302158 12.5171366 0.796191 91.8794022 4
"V121" 8.0965881 1.0225363 13.8775225 0.8039476 90.1682358 6
"V122" 7.6150947 1.2923938 14.6105862 0.7998177 90.9206238 4
"V123" 7.9407463 1.086778 11.2889557 0.8533524 90.0704041 6
"V124" 7.548635 1.1871674 13.0093307 0.7542203 90.7373199 1
"V125" 7.7943764 0.9670348 13.9727221 0.8077571 90.1168747 6
"V126" 7.7715378 1.2037743 11.2886305 0.7221552 90.568718 5
"V127" 7.6544104 1.1328635 11.6253166 0.8185703 89.2395401 3
"V128" 7.4599705 0.9044073 11.8735056 0.9108258 90.6789246 1
"V129" 8.1912203 0.974588 14.399889 0.8523767 90.1965714 6
"V130" 7.785676 1.0302736 13.6791487 0.906469 90.5548782 1
"V131" 7.7026067 1.4291236 14.3942661 0.7000633 90.4832153 5
"V132" 8.2152405 1.290446 13.6188221 0.8075259 89.5727921 6
"V133" 8.0060043 0.9937663 14.5581989 0.8457751 89.8153763 6
"V134" 8.1393738 1.1143374 14.6485672 0.7803568 89.6629639 6
"V135" 7.9571133 1.1287544 12.0642176 0.8239619 89.9016876 2
"V136" 7.8908677 1.2357231 11.3940287 0.7189058 89.6849289 3
"V137" 7.9957275 0.9927951 13.3710747 0.8031616 89.873497 6
"V138" 7.8266387 0.9902195 12.4793949 0.7404637 89.8349686 6
"V139" 7.7074122 1.3120993 7.5919394 0.7118456 89.8515244 5
"V140" 7.9010515 1.1479994 14.7888107 0.8359291 90.0750809 1
"V141" 8.2906017 1.0777041 14.7351465 0.9136751 90.5344086 7
"V142" 8.2222624 1.1943529 13.3402224 0.8498363 89.7621994 6
"V143" 7.8474717 1.3434759 10.9919586 0.7500123 89.6972351 5
"V144" 7.7672157 1.286038 12.9631758 0.7855477 90.4821091 4
"V145" 8.3847103 1.0643719 14.9746876 0.815091 89.8327484 6
"V146" 7.9895058 1.1322329 15.2943172 0.8290713 89.5989151 6
"V147" 7.9994979 1.0730761 12.7708149 0.7965344 89.8493195 2
"V148" 7.9475522 1.1565089 12.22997 0.7953165 91.3197403 4
"V149" 7.9766059 0.9827653 13.2093458 0.816458 89.9351273 1
"V150" 7.672822 1.0740941 14.4456587 0.842087 89.8504791 1
"V151" 7.7987933 1.0047895 12.9680815 0.7623343 89.4004364 6
"V152" 8.0114126 0.9885262 12.7946606 0.8419432 89.6857834 6
"V153" 8.0028572 1.2343844 15.0742035 0.9386398 90.3112946 7
"V154" 7.5786343 0.9988011 14.7025375 0.8561624 90.0916443 1
"V155" 8.1011324 1.2646447 12.9964342 0.8433932 90.2730865 2
"V156" 8.4497871 1.1659688 14.2438498 0.9274505 88.5722275 7
"V157" 8.012701 1.1674558 10.6426773 0.8370188 89.2260971 3
"V158" 7.3574514 1.0792115 14.2712526 0.8473272 89.9576111 1
"V159" 8.5052929 1.012552 13.4794245 0.883009 89.5313339 6
"V160" 8.4786148 1.4118981 10.8315039 0.6909657 89.9175415 5
"V161" 8.0323725 0.9868571 12.8774662 0.785718 89.7905273 1
"V162" 7.4889836 1.0302031 12.1983938 0.7685985 90.0006256 1
"V163" 8.0460215 0.9374484 14.2761459 0.8550122 90.348465 6
"V164" 7.9819226 1.117501 13.8542576 0.7978498 90.5629883 2
"V165" 7.6953869 1.1455439 11.1926107 0.7721418 91.6918488 4
"V166" 7.8677678 0.9995903 13.3316097 0.8131727 90.2608414 6
"V167" 7.9404168 1.1239674 13.3851271 0.8127066 90.3601608 2
"V168" 7.7715163 1.0296016 13.472023 0.8171603 89.8305359 1
"V169" 8.105341 1.0539839 12.3887701 0.745571 90.4766159 1
"V170" 8.4742527 1.1471099 13.2197227 0.7768968 90.3311691 6
"V171" 7.8686261 1.0507765 12.5076141 0.690479 89.8424606 6
"V172" 8.2870712 1.2691755 8.8406754 0.7786872 89.1171799 5
"V173" 7.7602487 1.1478354 12.4587946 0.7443216 91.1983719 4
"V174" 8.3055887 1.0363801 13.284297 0.7161127 90.6043625 1
"V175" 7.9513307 1.1094806 10.6435671 0.8483737 89.6363754 3
"V176" 8.1555405 1.2064065 14.5895262 0.9796509 90.4184647 7
"V177" 8.1328297 1.1694455 13.5120583 0.7336825 90.7173233 1
"V178" 7.5537267 0.9929425 14.6335707 0.8290679 90.2986832 6
"V179" 7.5479884 0.9913091 13.2115021 0.7747111 90.5958176 1
"V180" 8.0943556 1.066465 11.5737419 0.7665932 90.0631866 2
"V181" 7.7020354 1.0388172 14.1186438 0.8224658 90.3787003 6
"V182" 7.9785604 1.1271131 11.0247583 0.755607 89.8207169 3
"V183" 8.1211205 1.1196506 13.1823683 0.7141789 89.9672241 3
"V184" 8.2325182 1.2941288 13.1363897 0.7887168 91.0354309 1
"V185" 8.2914429 1.0336511 13.282239 0.8438729 90.0203934 6
"V186" 7.7012062 0.9871818 11.5357895 0.7875508 90.0825577 6
"V187" 7.9150538 1.2648071 13.8959827 0.7961251 91.9360657 4
"V188" 7.7592859 1.1035936 12.3538074 0.7858784 90.7054749 2
"V189" 8.1498337 1.0406559 13.7482061 0.731061 90.07827 6
"V190" 7.8027334 0.8280507 11.9559269 0.8251327 90.0624237 6
"V191" 7.0628972 1.0128074 12.2494583 0.8541079 90.6269455 1
"V192" 7.7015796 1.1866969 13.8787918 0.7810452 91.0372009 1
"V193" 7.7982302 1.0111021 13.7335482 0.8190218 90.3749771 6
"V194" 7.9291887 1.134608 12.4603462 0.7335573 90.4009018 2
"V195" 7.8027668 0.9734882 12.3926744 0.7124796 90.2085495 3
"V196" 7.7506399 1.0170476 13.0168867 0.8189651 90.362793 2
"V197" 7.7055702 1.4555756 10.9973516 0.6273627 90.4637833 5
"V198" 7.9177475 1.0511622 9.2643652 0.706917 90.192337 5
"V199" 7.1719737 1.0117497 12.1160622 0.7507496 90.7047195 1
"V200" 7.8076611 1.1792309 12.057457 0.7475743 90.1041107 6
"V201" 7.1329608 1.0003372 11.3708687 0.8815461 90.4957275 1
"V202" 7.1727595 0.9564282 11.8430042 0.8463451 90.6584091 1
"V203" 7.8639088 1.0663099 14.8200483 0.8476843 90.4617844 6
"V204" 7.7873788 1.0185729 13.2930021 0.6944613 90.6385727 1
"V205" 8.0848064 1.0881718 14.2875366 0.8737218 90.2270203 1
"V206" 8.2468262 1.0784178 11.498311 0.7511578 89.485466 6
"V207" 8.0412865 1.0009489 14.8832684 0.9219664 90.2967758 6
"V208" 7.6431756 1.2199701 13.3508997 0.7138318 90.3047791 3
"V209" 7.7628922 1.0885855 14.0622768 0.8496351 90.7091141 1
"V210" 7.6542296 1.0030948 13.470705 0.8430481 90.3605804 6
"V211" 7.7040849 1.3218298 10.6662502 0.7651376 89.9568024 5
"V212" 7.9237008 0.9867911 13.8390141 0.8847918 90.2726669 6
"V213" 8.1729374 1.0955548 11.7227478 0.7729342 89.3121948 3
"V214" 7.8105717 1.0592369 15.0532789 0.8082377 91.1751862 1
"V215" 7.9885273 1.1757019 12.9790668 0.8481562 91.825882 4
"V216" 7.9786477 0.8763678 11.4518795 0.7759115 89.7455292 6
"V217" 7.8457937 0.9933745 14.7130594 0.8347976 90.3046494 6
"V218" 7.8691783 1.1008736 11.8465462 0.8066256 90.298172 2
"V219" 8.1777077 0.8986157 12.382884 0.7158143 90.1372299 6
"V220" 7.609509 0.9902104 12.5112038 0.7569867 90.0294647 6
"V221" 7.3805842 1.1560621 12.7809715 0.7599595 90.1027679 1
"V222" 7.9119191 1.3007572 10.0270329 0.6936606 90.2528687 5
"V223" 8.2899904 1.0577141 12.9630842 0.8507345 90.0090561 6
"V224" 7.3920984 1.1570834 13.2766733 0.7887305 90.3555527 1
"V225" 7.5130105 1.1731794 12.7737322 0.7575376 91.4214401 4
"V226" 7.868813 1.1222558 9.2730389 0.8894444 90.1442871 5
"V227" 8.0100145 1.1005477 11.3567677 0.8398567 90.4105606 2
"V228" 8.5073385 0.9319617 13.2858753 0.8319039 90.1214371 6
"V229" 8.5573397 0.9937879 11.9398928 0.760927 89.9804764 6
"V230" 8.0877867 1.0438728 14.6011629 0.849407 90.3223953 6
"V231" 7.6734962 1.2369623 14.7481251 0.8167868 90.3219223 1
"V232" 8.2646093 1.0443438 12.3661661 0.8100305 89.8038712 3
"V233" 8.2021608 1.3080225 12.56672 0.7539964 89.2731552 3
"V234" 7.910481 1.0792074 9.5527048 0.7403425 89.899826 5
"V235" 7.8392758 1.2283525 14.1825352 0.7970263 90.1487579 1
"V236" 8.095808 1.0384493 13.555603 0.909305 89.8077469 6
"V237" 7.9248257 0.7249157 10.7298403 0.6932529 90.1250534 6
"V238" 8.0094748 1.0446298 13.4960699 0.7485557 90.3728027 6
"V239" 7.4648232 1.120955 11.080307 0.8068632 90.3464432 6
"V240" 7.6047907 1.1061556 8.4668884 0.8812008 90.5702972 5
"V241" 7.293992 1.3371302 9.5838785 0.6817108 91.2380219 5
